steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD),current_player_count,release_date
1846170,Iron Lung,['David Szymanski'],['David Szymanski'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",0,7,['windows'],6213,5758,455,8.0,Very Positive,92.7,0,False,7.99,7,N/A
1473350,(the) Gnorp Apologue,['Myco'],['(Myco) '],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Strategy']",0,17,['windows'],5495,5312,183,9.0,Overwhelmingly Positive,96.7,0,False,6.99,173,N/A
1462040,FINAL FANTASY VII REMAKE INTERGRADE,['Square Enix'],['Square Enix'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'RPG']",0,63,['windows'],13310,11689,1621,8.0,Very Positive,87.8,0,False,39.99,1145,"17 Jun, 2022"
1449690,The Walking Dead: The Telltale Definitive Series,['Skybound Games'],['Skybound Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']",['Adventure'],0,23,['windows'],7098,6922,176,9.0,Overwhelmingly Positive,97.5,0,False,49.99,563,N/A
1443200,Class of '09,['SBN3'],['SBN3'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'RPG', 'Simulation']",0,0,"['windows', 'mac', 'linux']",5385,5162,223,9.0,Overwhelmingly Positive,95.9,0,False,9.99,46,N/A
367450,Poly Bridge,['Dry Cactus'],['Dry Cactus'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Indie', 'Simulation']",73,22,"['windows', 'mac', 'linux']",5615,5051,564,8.0,Very Positive,90.0,73,False,9.99,101,N/A
367520,Hollow Knight,['Team Cherry'],['Team Cherry'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",87,63,"['windows', 'mac', 'linux']",123467,119999,3468,9.0,Overwhelmingly Positive,97.2,87,False,14.99,23728,N/A
366090,Colony Survival,['Pipliz'],['Pipliz'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Strategy', 'Early Access']",0,50,"['windows', 'mac', 'linux']",5341,4890,451,8.0,Very Positive,91.6,0,False,24.95,99,N/A
362680,Fran Bow,['Killmonday Games AB'],['Killmonday Games AB'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Adventure', 'Indie']",70,18,"['windows', 'mac', 'linux']",7217,6971,246,9.0,Overwhelmingly Positive,96.6,70,False,14.99,94,N/A
362890,Black Mesa,['Crowbar Collective'],['Crowbar Collective'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Adventure', 'Indie']",84,50,"['windows', 'linux']",61218,58229,2989,9.0,Overwhelmingly Positive,95.1,84,False,19.99,477,"6 Mar, 2020"
362930,Garfield Kart,['Artefacts Studio'],['Microids'],"['Single-player', 'Partial Controller Support', 'Family Sharing']",['Racing'],0,0,"['windows', 'mac']",8380,7544,836,8.0,Very Positive,90.0,0,False,4.99,34,"16 Oct, 2015"
362960,Tyranny,['Obsidian Entertainment'],['Paradox Interactive'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","['Adventure', 'RPG']",80,70,"['windows', 'mac', 'linux']",5977,5144,833,8.0,Very Positive,86.1,80,False,29.99,50,"10 Nov, 2016"
362490,Exanima,['Bare Mettle Entertainment'],['Bare Mettle Entertainment'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']",0,0,['windows'],8055,6613,1442,8.0,Very Positive,82.1,0,False,14.99,151,"29 Apr, 2015"
362620,Software Inc.,['Coredumping'],['Coredumping'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['Indie', 'Simulation', 'Strategy', 'Early Access']",0,15,"['windows', 'mac', 'linux']",5067,4793,274,8.0,Very Positive,94.6,0,False,22.99,147,"1 May, 2015"
360430,Mafia III: Definitive Edition,"['Hangar 13', 'Aspyr (Mac)']","['2K', 'Aspyr (Mac)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",0,85,"['windows', 'mac']",13450,8181,5269,5.0,Mixed,60.8,0,False,29.99,1087,"19 May, 2020"
359320,Elite Dangerous,['Frontier Developments'],['Frontier Developments'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'VR Supported', 'VR Support', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",80,0,['windows'],48043,36710,11333,6.0,Mostly Positive,76.4,80,False,19.99,4273,"2 Apr, 2015"
354140,Five Nights at Freddy's 3,['Scott Cawthon'],['Scott Cawthon'],"['Single-player', 'Family Sharing']","['Action', 'Indie', 'Simulation']",68,0,['windows'],5826,5184,642,8.0,Very Positive,89.0,68,False,7.99,19,"2 Mar, 2015"
350080,Wolfenstein: The Old Blood,['MachineGames'],['Bethesda Softworks'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",['Action'],76,50,['windows'],7833,6943,890,8.0,Very Positive,88.6,76,False,19.99,263,"4 May, 2015"
344760,Reign Of Kings,['Code}{atch'],['Code}{atch'],"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",0,0,['windows'],7851,4180,3671,5.0,Mixed,53.2,0,False,9.99,14,"15 Dec, 2015"
343780,Cat Goes Fishing,['Cat5Games'],[],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,86,['windows'],5992,5693,299,9.0,Overwhelmingly Positive,95.0,0,False,6.99,58,"19 Jan, 2015"
341940,Hatred,['Destructive Creations'],['Destructive Creations'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Indie']",43,74,"['windows', 'linux']",8321,6739,1582,8.0,Very Positive,81.0,43,False,5.99,60,"1 Jun, 2015"
339800,HuniePop,['HuniePot'],['HuniePot'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Indie', 'RPG', 'Simulation', 'Strategy']",0,20,"['windows', 'mac', 'linux']",19647,18931,716,9.0,Overwhelmingly Positive,96.4,0,False,9.99,177,"19 Jan, 2015"
337320,Paint the Town Red,['South East Games'],['South East Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Family Sharing']","['Action', 'Indie']",0,30,"['windows', 'mac', 'linux']",12532,12009,523,9.0,Overwhelmingly Positive,95.8,0,False,19.99,236,"29 Jul, 2021"
335300,DARK SOULS™ II: Scholar of the First Sin,"['FromSoftware, Inc.']","['Bandai Namco Entertainment', 'FromSoftware, Inc.']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'RPG']",79,38,['windows'],29316,24334,4982,8.0,Very Positive,83.0,79,False,39.99,1548,"1 Apr, 2015"
